"TextTitle","Text_Author","Text_year_creation","Text_genre","KeyWord","DependentWord","Part_of_speech","Total_Frequency"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","исходить","VERB_HEAD","324"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","стоять","VERB_HEAD","225"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","дух (Gen)","NOUN","121"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","и","OTHER","81"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","пот (Gen)","NOUN","49"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","и","OTHER","49"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","пропитать","VERB_HEAD","36"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","тяжёлый","ADJ","36"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","наполнять","VERB_HEAD","36"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","крепкий","ADJ","25"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","вкусный","ADJ","25"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","душный","ADJ","25"
"Война мир","Лев Николаевич Толстой",1863,"роман","запах","этот","OTHER","25"
"Темные аллеи","Иван Алексеевич Бунин",1938,"рассказ","запах","почувствовать","VERB_HEAD","16"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","листва (Gen)","NOUN","16"
"Война мир","Лев Николаевич Толстой",1863,"роман","запах","дух (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","насытить","VERB_HEAD","16"
"Двенадцать стульев","Илья Ильф, Евгений Петров",1928,"роман","запах","сильный","ADJ","16"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","пресный","ADJ","16"
"Война мир","Лев Николаевич Толстой",1863,"роман","запах","с","OTHER","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","сырость (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","табак (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","дышать","VERB_HEAD","16"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","пряный","ADJ","16"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","сладкий","ADJ","16"
"Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой",1927,"рассказ","запах","волос (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","дым (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","пыль (Gen)","NOUN","16"
"Аэлита","Алексей Николаевич Толстой",1923,"роман","запах","горьковатый","ADJ","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","пот (Gen)","NOUN","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","подниматься","VERB_HEAD","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","густой","ADJ","16"
"Темные аллеи","Иван Алексеевич Бунин",1938,"рассказ","запах","этот","OTHER","16"
"Темные аллеи","Иван Алексеевич Бунин",1938,"рассказ","запах","с","OTHER","16"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","тёплый","ADJ","9"
"Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой",1927,"рассказ","запах","от","OTHER","9"
"Мы (сборник)","Евгений Иванович Замятин",1920,"роман","запах","и","OTHER","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","земля (Gen)","NOUN","9"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","пахнуть","VERB_HEAD","9"
"Двенадцать стульев","Илья Ильф, Евгений Петров",1928,"роман","запах","с","OTHER","9"
"Война мир","Лев Николаевич Толстой",1863,"роман","запах","крепкий","ADJ","9"
"Поднятая целина","Михаил Александрович Шолохов",1932,"роман","запах","пот (Gen)","NOUN","9"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","с","OTHER","9"
"Поднятая целина","Михаил Александрович Шолохов",1932,"роман","запах","пресный","ADJ","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","кожа (Gen)","NOUN","9"
"Другие берега","Владимир Владимирович Набоков",1954,"автобиография","запах","и","OTHER","9"
"Поднятая целина","Михаил Александрович Шолохов",1932,"роман","запах","пряный","ADJ","9"
"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея","запах","трупный","ADJ","9"
"Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой",1927,"рассказ","запах","с","OTHER","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","цвет (Gen)","NOUN","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","масло (Gen)","NOUN","9"
"Поднятая целина","Михаил Александрович Шолохов",1932,"роман","запах","уловить","VERB_HEAD","9"
"Угрюм-река","Вячеслав Яковлевич Шишков",1933,"роман","запах","от","OTHER","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","наполнить","VERB_HEAD","9"
"Темные аллеи","Иван Алексеевич Бунин",1938,"рассказ","запах","и","OTHER","9"
"Хождение по мукам","Алексей Николаевич Толстой",1941,"роман","запах","вдыхать","VERB_HEAD","9"
"Анна Каренина","Лев Николаевич Толстой",1873,"роман","запах","и","OTHER","9"
"Жизнь Клима Самгина","Максим Горький",1937,"роман","запах","неприятный","ADJ","9"
"Белая гвардия","Михаил Афанасьевич Булгаков",1924,"роман","запах","тяжёлый","ADJ","9"
"Мелкий бес","Фёдор Кузьмич Сологуб",1905,"роман","запах","и","OTHER","9"
