TextID,Sentence
53,"— Дрыхнешь, дьявол!"
53,"Пара кляч задвигается усилиями обоих назад во двор, и ворота закрываются."
53,"Но аромат уже отравил ругающуюся публику…

Извозчики разъехались."
53,Публика прошла.
53,"К сверкавшему яблочковыми фонарями подъезду Купеческого клуба подкатывали собственные запряжки, и выходившие из клуба гости на лихачах уносились в загородные рестораны «взять воздуха» после пира."
51,Пускай не прикидывается комсомольцем!
51,"Сильвестрова вечером привели Жорка Волохов, и, при всей трагичности вопроса, я не мог удержаться от улыбки, когда поставили его на середину и Лапоть завинтил последнюю гайку:

— Стань смирно!"
51,Сильвестров до холодного пота боялся совета командиров.
51,"Он не только вышел на середину, не только стал смирно, он готов был совершать какие угодно подвиги, разгадывать какие угодно загадки, только бы вырваться целым и невредимым из этого ужасного учреждения."
51,"Неожиданно все повернулось таким боком, что загадки пришлось разгадывать самому совету, ибо Сильвестров мямлил на середине:

— Товарищи колонисты, разве я какой оскорбитель… или хулиган?.."
36,"В станицах и селах встречали красных солдат как освободителей, выходили нередко навстречу жители, приветствовали, помогали как умели и чем могли, делились достатками… Самому Чапаеву прием оказывали чрезвычайный, — он в полном смысле был тогда «героем дня»."
36,"— Хоть одно словечко скажи, — просили его мужички, — будут еще казаки идти или ты, голубчик, прогнал их вовсе!"
36,"Чапаев усмешливо покручивал ус и отвечал, добродушный, веселый, довольный:

— Собирайтесь вместе с нами — тогда не придут, а бабам юбки будете нюхать — кто же вас охранять станет?"
36,— А как же мы?
36,"— Да так же вот, как и мы, — отвечал Чапаев, указывая на всех, что его окружали."
33,Ничтожен каждый край земли… Немного уже осталось тебе.
33,Живи как на горе.
33,"Как с горы обозревай земное: сборища, походы, битвы, полевые работы, браки, рождения, смерти…» И я мысленно вижу Прованс, по которому мчится мистраль с дикой жаждой сокрушения всего человеческого, временного, вижу весь этот древний край, сейчас спящий, пустой, со всеми его горами и долинами, с бледнеющими в лихорадочном блеске звезд дорогами — все теми же, что в те легендарные дни, когда мигом правил тот, кто в какой-то «стране Квадов», в часы своего ночного одиночества, писал под лагерным шатром о ничтожестве всех человеческих жизней, стран и веков… В глухих провансальских селениях, первобытно прекрасных в своей дикости, пахнущих как бы пастушеским дымом, въевшимся в камень и глину жилищ и очагов, народ говорит, что мул есть создание вещее, редкое по сокровенности чувств и помыслов, по уму и чуткости ко всему тайному и дивному, чем полон мир, и что до рассвета стоит он в такие ночи в своем темном, холодном, насквозь продуваемом стойле с открытыми глазами, ни на миг не ослабляя слуха и внимания к «работе» мистраля: он, верно, тоже видит, чувствует этот пустой, бесконечный пролет в пространстве тех римских времен, кажущихся мне и моими собственными…

Снова прихожу в себя в той же темноте, но в неожиданном глубоком спокойствии: всюду немота, молчание, бури точно не было."
33,"Я встаю, неслышно сбегаю в прихожую, отворяю наружную дверь: свежесть ночного воздуха, терраса и пальмы на ней, сад по уступам внизу — и уже неподвижное в белой звездной россыпи небо… Всюду предрассветное ничто."
33,"За домом, над темной лесистой горой, есть уже что-то затаенное, обещающее, чуть светлеющее чем-то прозрачным, уходящим в вогнутую высь."
1,У большей части домов были заперты ворота и ставни.
1,Улицы и переулки были пустынны.
1,В воздухе пахло гарью и дымом.
1,"Изредка встречались русские с беспокойно-робкими лицами и французы с негородским, лагерным видом, шедшие по серединам улиц."
1,И те и другие с удивлением смотрели на Пьера.
55,Окончательно избаловала их советская власть!
55,"Каждый то в доктора метит, то в агрономы, то в разные инженеры, а перемрем мы, старики, — кто же народу сапоги тачать, штаны шить, лошадей ковать будет?"
55,"И у меня так же: никого не заманю в кузню, всяк от кузнечного дыму лытает, как черт от ладана."
55,Пришлось вот этого Ванятку брать.
55,"Способный он, чертенок, а сколько тиранства я от него терплю — нет числа!"
13,"Они в белых и сероватых рубахах, очень много совсем нагих чинит белье."
13,"Заметно было, что многие солдаты бродят одиноко, как бы избегая общения."
13,"Дым, тяжело и медленно поднимаясь от земли, сливается с горячим, влажным воздухом, низко над людями висит серое облако, дым напитан запахами болота и человечьего навоза."
13,"Люди кричат, их невнятные крики образуют тоже как бы облако разнообразного шума, мерно прыгает солдатская маршевая песня, уныло тянется деревенская, металлически скрипят и повизгивают гармоники, стучат топоры, где-то учатся невидимые барабанщики, в трех десятках шагов от насыпи собралось толстое кольцо, в центре его двое пляшут, и хор отчаянно кричит старинную песню:

		Деревенски мужики —
		Хамы, свиньи, дураки."
13,"Эх, — калина, эх, — малина."
39,"И это скольжение, как на воздушных салазках, вниз принесло ей наибольшее наслаждение."
39,"Земля поднялась к ней, и в бесформенной до этого черной гуще ее обозначились ее тайны и прелести во время лунной ночи."
