Токен,total_token_count (Natural),total_token_count (Generic),sentence_count (Natural),sentence_count (Generic),dependent_word_count (Natural),dependent_word_count (Generic),avg_word_count (Natural),avg_word_count (Generic)
запах,1153,2466,1096,2331,2093,652,26.78,15.92
аромат,151,1805,149,1783,212,546,30.5,16.06
вонь,690,1151,673,1115,91,122,31.23,16.96
дух,5289,914,5087,905,2624,39,27.31,16.48
благоухание,42,913,42,913,79,300,26.08,15.38
запашок,13,819,13,819,11,250,34.6,16.72
зловоние,25,642,25,642,41,266,30.26,15.68
смрад,79,394,76,394,69,221,21.7,15.18
благовоние,15,368,15,367,21,215,34.58,16.52
дым,4260,199,4095,192,1575,52,24.31,15.24
благоухать,39,48,39,48,44,19,16.65,18.0
букет,208,44,201,44,331,66,24.63,16.02
веять,2710,19,2607,18,321,4,25.03,15.0
ладан,201,12,197,12,88,8,26.44,14.0
дуновение,38,8,38,8,97,13,30.26,16.0
пахнуть,629,3,623,3,578,6,30.3,17.0
миазмы,8,1,8,1,18,2,33.33,22.0
навоз,183,1,179,1,179,0,26.23,0.0
амбре,16,1,16,1,2,3,22.0,20.0
