TokenID,Token_text,total_token_count,sentence_count,dependent_word_count,avg_sentence_length,median_sentence_length,POS_Dependencies
1,#дух,0,0,0,0.0,0.0,
2,амбра,2,2,2,0.057971014492753624,0.0,"ADJ: 1, VERB_HEAD: 1"
3,амбре,2,1,2,0.028985507246376812,0.0,"CCONJ: 1, VERB_HEAD: 1"
4,аромат,92,88,219,1.3340579710144926,0.0,"ADJ: 53, ADP: 2, CCONJ: 2, DET: 2, NOUN: 49, OTHER: 34, PROPN: 2, PUNCT: 2, VERB: 1, VERB_CHILD: 10, VERB_HEAD: 62"
5,ароматный,5,1,1,0.014705882352941176,0.0,ADJ: 1
6,благовоние,7,5,9,0.15942028985507245,0.0,"ADJ: 1, NOUN: 1, OTHER: 1, VERB_CHILD: 1, VERB_HEAD: 5"
7,благоухание,30,30,60,0.5820289855072464,0.0,"ADJ: 9, ADV: 1, DET: 2, NOUN: 10, OTHER: 11, VERB_CHILD: 2, VERB_HEAD: 25"
8,благоухать,0,0,0,0.0,0.0,
9,букет,189,173,373,1.5668115942028986,2.0,"ADJ: 49, ADP: 11, ADV: 3, CCONJ: 3, DET: 6, NOUN: 89, NUM: 3, OTHER: 54, PART: 6, PRON: 1, PROPN: 5, PUNCT: 2, VERB: 7, VERB_CHILD: 9, VERB_HEAD: 125"
10,веять,1,1,2,0.028985507246376812,0.0,"NOUN: 1, VERB_HEAD: 1"
11,вонь,57,44,90,0.9710144927536232,0.0,"ADJ: 25, ADV: 1, CCONJ: 1, NOUN: 16, OTHER: 22, PRON: 1, VERB_CHILD: 1, VERB_HEAD: 23"
12,вонючий,16,7,11,0.10144927536231885,0.0,"ADJ: 1, ADV: 3, CCONJ: 1, NOUN: 1, OTHER: 3, VERB_HEAD: 2"
13,вонять,3,3,12,0.17391304347826086,0.0,"ADV: 2, NOUN: 1, OTHER: 4, PRON: 2, VERB_HEAD: 3"
14,дерьмо,15,13,22,0.19231884057971013,0.0,"ADJ: 2, NOUN: 4, OTHER: 9, VERB_HEAD: 7"
15,дуновение,22,22,63,0.5533333333333333,0.0,"ADJ: 13, ADV: 1, DET: 2, NOUN: 13, OTHER: 12, VERB_CHILD: 5, VERB_HEAD: 17"
16,дух,74,62,146,1.0728985507246378,0.0,"ADJ: 30, ADV: 3, CCONJ: 1, DET: 2, NOUN: 24, NUM: 1, OTHER: 31, PRON: 2, VERB: 3, VERB_CHILD: 6, VERB_HEAD: 43"
17,душистый,29,8,20,0.19130434782608693,0.0,"ADJ: 4, ADV: 2, CCONJ: 1, OTHER: 10, PRON: 2, VERB_HEAD: 1"
18,душок,15,15,41,0.3352173913043478,0.0,"ADJ: 14, ADV: 1, DET: 1, NOUN: 9, OTHER: 3, PRON: 1, VERB_HEAD: 12"
19,дым,1319,1055,2118,2.294057971014493,2.0,"ADJ: 421, ADP: 30, ADV: 21, CCONJ: 8, DET: 3, NOUN: 320, OTHER: 447, PART: 4, PRON: 24, PUNCT: 1, SCONJ: 1, VERB: 15, VERB_CHILD: 70, VERB_HEAD: 753"
20,запах,1019,952,2590,3.002173913043478,3.0,"ADJ: 558, ADP: 16, ADV: 19, CCONJ: 15, DET: 17, NOUN: 767, OTHER: 370, PART: 4, PRON: 34, PROPN: 1, PUNCT: 3, VERB: 18, VERB_CHILD: 87, VERB_HEAD: 681"
21,запашок,3,3,6,0.08695652173913043,0.0,"ADJ: 1, NOUN: 1, OTHER: 2, VERB_CHILD: 1, VERB_HEAD: 1"
22,зловоние,20,18,37,0.47101449275362317,0.0,"ADJ: 9, NOUN: 4, OTHER: 5, VERB_CHILD: 3, VERB_HEAD: 16"
23,зловонный,4,1,2,0.0392156862745098,0.0,"CCONJ: 1, NOUN: 1"
24,испарение,4,3,10,0.18840579710144928,0.0,"ADJ: 1, NOUN: 6, VERB_HEAD: 3"
25,ладан,79,57,97,0.6915942028985507,0.0,"ADJ: 15, ADP: 2, NOUN: 13, OTHER: 25, PRON: 2, VERB_CHILD: 2, VERB_HEAD: 38"
26,миазмы,6,6,19,0.1865217391304348,0.0,"ADJ: 1, CCONJ: 1, DET: 2, NOUN: 6, OTHER: 4, PRON: 1, VERB: 1, VERB_HEAD: 3"
27,навоз,128,104,194,1.1973913043478261,0.0,"ADJ: 25, ADP: 10, ADV: 2, CCONJ: 2, NOUN: 31, OTHER: 53, PRON: 2, PUNCT: 2, VERB: 5, VERB_CHILD: 5, VERB_HEAD: 57"
28,нюхать,19,17,56,0.8288235294117647,0.0,"ADV: 5, CCONJ: 2, NOUN: 15, OTHER: 9, PRON: 3, SCONJ: 1, VERB: 3, VERB_CHILD: 5, VERB_HEAD: 13"
29,обоняние,15,14,33,0.7352941176470589,0.0,"ADJ: 2, DET: 1, NOUN: 7, OTHER: 9, PRON: 1, VERB: 2, VERB_CHILD: 1, VERB_HEAD: 10"
30,обонять,0,0,0,0.0,0.0,
31,одеколон,57,41,65,0.6056521739130435,0.0,"ADJ: 7, ADP: 4, NOUN: 10, OTHER: 12, VERB_CHILD: 1, VERB_HEAD: 31"
32,парфюм,0,0,0,0.0,0.0,
33,пахнуть,13,12,39,0.5320289855072464,0.0,"ADJ: 1, ADV: 4, NOUN: 12, OTHER: 9, PRON: 4, VERB_HEAD: 9"
34,пахучий,18,5,9,0.10869565217391304,0.0,"ADV: 1, DET: 1, NOUN: 2, OTHER: 2, VERB_HEAD: 3"
35,перегар,17,14,28,0.3605797101449275,0.0,"ADJ: 12, NOUN: 3, OTHER: 3, VERB_CHILD: 1, VERB_HEAD: 9"
36,попахивать,0,0,0,0.0,0.0,
37,пот,411,318,545,1.5871014492753623,2.0,"ADJ: 97, ADP: 8, ADV: 2, CCONJ: 4, NOUN: 51, OTHER: 131, PART: 1, PRON: 6, VERB: 3, VERB_CHILD: 16, VERB_HEAD: 226"
38,потеть,4,4,6,0.08823529411764706,0.0,"ADV: 2, VERB_HEAD: 4"
