TokenID,Token_text,total_token_count,sentence_count,dependent_word_count,POS_Dependencies
1489,благоухание,0,0,0,
273,тухлятина,0,0,0,
2574,вонь,3,1,2,"CCONJ: 1, NOUN: 1"
951,запашок,1,1,3,"VERB_CHILD: 1, OTHER: 2"
2614,обоняние,0,0,0,
2520,нюхать,0,0,0,
2466,чадо,0,0,0,
2196,потный,1,0,0,
1750,испарение,0,0,0,
176,разить,0,0,0,
576,чадо,0,0,0,
1003,благоухать,0,0,0,
292,аромат,0,0,0,
1331,чадить,0,0,0,
2784,попахивать,0,0,0,
663,запашок,1,1,1,ADJ: 1
1552,аромат,0,0,0,
1589,букет,2,2,4,"NOUN: 1, VERB_HEAD: 1, OTHER: 1, ADJ: 1"
1811,душок,0,0,0,
2204,пот,2,2,3,OTHER: 3
1373,букет,1,1,2,"ADJ: 1, OTHER: 1"
764,перегар,0,0,0,
556,фимиам,0,0,0,
2469,пахучий,0,0,0,
1268,перегар,0,0,0,
2749,потеть,0,0,0,
173,вонять,0,0,0,
2276,обоняние,0,0,0,
876,благовоние,0,0,0,
161,амбре,0,0,0,
3202,чадо,0,0,0,
113,вонь,1,1,3,"OTHER: 2, VERB_HEAD: 1"
2172,потный,0,0,0,
2983,ароматный,0,0,0,
1595,душок,0,0,0,
3097,дуновение,1,1,3,"DET: 2, VERB_HEAD: 1"
2990,перегар,0,0,0,
815,дуновение,0,0,0,
1422,амбре,0,0,0,
3150,вонять,0,0,0,
2054,дуновение,0,0,0,
1004,попахивать,0,0,0,
2702,потный,0,0,0,
3071,потеть,0,0,0,
2404,ароматный,0,0,0,
57,испарение,0,0,0,
1313,миазмы,0,0,0,
19,пригарь,0,0,0,
2721,запашок,0,0,0,
824,попахивать,0,0,0,
1262,дух,0,0,0,
357,разить,0,0,0,
2366,нюхать,0,0,0,
769,благоухание,0,0,0,
266,зловоние,0,0,0,
2543,тухлятина,0,0,0,
1550,дух,1,1,3,"OTHER: 1, ADJ: 1, VERB_HEAD: 1"
1287,навоз,3,2,4,"VERB_HEAD: 2, OTHER: 2"
366,вонь,3,3,10,"VERB_HEAD: 2, OTHER: 2, ADJ: 4, NOUN: 2"
307,амбра,0,0,0,
3199,разить,0,0,0,
91,пригарь,0,0,0,
305,миазмы,0,0,0,
743,дуновение,3,3,10,"VERB_HEAD: 3, ADJ: 2, OTHER: 3, NOUN: 2"
1484,перегар,1,1,2,"ADJ: 1, VERB_HEAD: 1"
10,душок,0,0,0,
1940,вонючий,0,0,0,
3068,пахучий,0,0,0,
2636,испарение,0,0,0,
1602,амбре,0,0,0,
2773,тухлятина,0,0,0,
2544,испарение,0,0,0,
823,благоухать,0,0,0,
50,запашок,0,0,0,
13,зловоние,0,0,0,
1319,дуновение,0,0,0,
2,одеколон,3,2,4,"NOUN: 1, VERB_HEAD: 3"
2770,амбре,0,0,0,
1603,амбра,0,0,0,
246,вонять,0,0,0,
1942,душистый,0,0,0,
2857,благоухание,0,0,0,
2799,ароматный,0,0,0,
2140,потеть,0,0,0,
1522,парфюм,0,0,0,
1967,вонючий,0,0,0,
355,благоухать,0,0,0,
2575,запах,26,25,75,"ADJ: 19, VERB_HEAD: 18, ADV: 2, VERB: 3, CCONJ: 4, NOUN: 22, ADP: 5, DET: 2"
2952,фимиам,0,0,0,
2742,чадо,0,0,0,
1006,смердеть,0,0,0,
2683,дуновение,0,0,0,
