Sentence ID,Sentence

1,"— Ну, сударыня, — начал старик, пригнувшись близко к дочери над тетрадью и положив одну руку на спинку кресла, на котором сидела княжна, так что княжна чувствовала себя со всех сторон окруженною тем табачным и старчески-едким запахом отца, который она так давно знала."
2,"Виноват ли был учитель или виновата была ученица, но каждый день повторялось одно и то же: у княжны мутилось в глазах, она ничего не видела, не слышала, только чувствовала близко подле себя сухое лицо строгого отца, чувствовала его дыхание и запах и только думала о том, как бы ей уйти поскорее из кабинета и у себя на просторе понять задачу."
3,"Денисов улыбнулся, достал из ташки платок, распространявший запах духов, и сунул, в нос Несвицкому."
4,"Он слышал тепло ее тела, запах духов и скрып ее корсета при движении."
5,"То двигались тысячи ног и штыков с развевавшимися знаменами, и по команде офицеров останавливались, заворачивались и строились в интервалах, обходя другие такие же массы пехоты в других мундирах; то мерным топотом и бряцанием звучала нарядная кавалерия в синих, красных, зеленых шитых мундирах с расшитыми музыкантами впереди, на вороных, рыжих, серых лошадях; то, растягиваясь с своим медным звуком подрагивающих на лафетах, вычищенных, блестящих пушек и с своим запахом пальников, ползла между пехотой и кавалерией артиллерия и расставлялась на назначенных местах."
6,"Потом потушили свечи, зажгли спирт, как это слышал по запаху Пьер, и сказали, что он увидит малый свет."
7,"Как только Ростов вошел в двери дома, его обхватил запах гниющего тела и больницы."
8,"Больничный запах был так силен в этом темном коридоре, что Ростов схватился за нос и должен был остановиться, чтобы собраться с силами и итти дальше."
9,"Запах, к которому он уже успел придышаться в коридоре, здесь был еще сильнее."
10,"Запах этот здесь несколько изменился; он был резче, и чувствительно было, что отсюда-то именно он и происходил."
11,"«И как они могут не только хохотать, но жить тут?» думал Ростов, всё слыша еще этот запах мертвого тела, которого он набрался еще в солдатском госпитале, и всё еще видя вокруг себя эти завистливые взгляды, провожавшие его с обеих сторон, и лицо этого молодого солдата с закаченными глазами."
12,"Ему так живо казалось, что он теперь чувствует этот больничный запах мертвого тела, что он оглядывался, чтобы понять, откуда мог происходить этот запах."
13,"Запах еды преображенцев и голод вызвали его из этого состояния: надо было поесть что-нибудь, прежде чем уехать."
14,В кабинете слышался сильный запах табаку и собак.
15,"Он вглядывался, и когда узнавал всё ту же и другую и вспоминал этот запах пробки, смешанный с чувством поцелуя, он полною грудью вдыхал в себя морозный воздух и, глядя на уходящую землю и блестящее небо, он чувствовал себя опять в волшебном царстве."
16,"Та же степенность, та же чистота, та же тишина была в этом доме, те же мебели, те же стены, те же звуки, тот же запах и те же робкие лица, только несколько постаревшие."
17,"— вторя завалившемуся потолку амбара, из которого несло запахом лепешек от сгоревшего хлеба, заревела толпа."
18,"— Да, приятный запах."
19,"Он ходил по лугу, волоча ноги, шаршавя траву и наблюдая пыль, которая покрывала его сапоги; то он шагал большими шагами, стараясь попадать в следы, оставленные косцами по лугу, то он, считая свои шаги, делал расчеты, сколько раз он должен пройти от межи до межи, чтобы сделать версту, то ошмурыгивал цветки полыни, растущие на меже, и растирал эти цветки в ладонях и принюхивался к душисто-горькому, крепкому запаху."
20,"В одно и то же время послышался взрыв, свист осколков как бы разбитой рамы, душный запах пороха, и князь Андрей рванулся в сторону и, подняв кверху руку, упал на грудь."
21,Приятный запах съестного и жирного яства слился с запахом дыма.
22,"По всему двору был разлит мирный, радостный для Пьера в эту минуту, крепкий запах постоялого двора, запах сена, навоза и дегтя."
23,"Не так как в живых ульях летают пчелы, не тот запах, не тот звук поражают пчеловода."
24,"Из летка не пахнет, как прежде, спиртовым, душистым запахом меда и яда, не несет оттуда теплом полноты, а с запахом меда сливается запах пустоты и гнили."
25,"Доктор и камердинер подняли шинель, которою он был накрыт, и морщась от тяжкого запаха гнилого мяса, распространявшегося от раны, стали рассматривать это страшное место."
26,"Как только вошел Николай в своей гусарской форме, распространяя вокруг себя запах духов и вина, и сам сказал и слышал несколько раз сказанные ему слова: vaut mieux tard que jamais,[919] его обступили; все взгляды обратились на него, и он сразу почувствовал, что вступил в подобающее ему в губернии и всегда приятное, но теперь после долгого лишения опьянившее его удовольствием положение всеобщего любимца."
27,"Переменяя бойко положение ног в натянутых рейтузах, распространяя от себя запах духов и любуясь и своею дамой и собою и красивыми формами своих ног под натянутыми кичкирами, Николай говорил блондинке, что он хочет здесь, в Воронеже, похитить одну даму."
28,"Рядом с ним сидел согнувшись какой-то маленький человек, присутствие которого Пьер заметил сначала по крепкому запаху по̀та, который отделялся от него при всяком его движении."
29,"Пьеру чувствовалось что-то приятное, успокоительное и круглое в этих спорых движениях, в этом благоустроенном в углу его хозяйстве, в запахе даже этого человека, и он, не спуская глаз, смотрел на него."
30,"Пьер не ел целый день, и запах картофеля показался ему необыкновенно приятным."
31,"Его слова и действия выливались из него так же равномерно, необходимо и непосредственно, как запах отделяется от цветка."
32,"И подходя к нему и слушая те тихие стоны, с которыми Каратаев обыкновенно на привалах ложился, и, чувствуя усилившийся теперь запах, который издавал от себя Каратаев, Пьер отходил от него подальше и не думал о нем.

В плену, в балагане, Пьер узнал не умом, а всем существом своим, жизнью, что человек сотворен для счастья, что счастье в нем самом, в удовлетворении естественных, человеческих потребностей, и что всё несчастье происходит не от недостатка, а от излишка; но теперь, в эти последние три недели похода, он узнал еще новую, утешительную истину — он узнал, что на свете нет ничего страшного."
33,"Она не понимала, отчего он так радостно, переходя от окна к балкону, улыбался под усами и подмигивал, когда на засыхающие всходы овса выпадал теплый частый дождик, или отчего, когда в покос или уборку угрожающая туча уносилась ветром, он, красный, загорелый, в поту, с запахом полыни и горчавки в волосах, приходя с гумна, радостно потирая руки, говорил: ну еще денек, и мое и крестьянское всё будет в гумне."
34,"Несмотря на то, что он был пьян и что верхняя часть его могущественного тела покрывалась только рубашкою, раскрытой на груди, — по легкому запаху духов и мыла, который сливался вокруг него с запахом выпитого вина, по тщательно-напомаженной утром прическе его волос, по изящной чистоте пухлых рук и тончайшего белья, по этой белизне и гладкой нежности кожи, — и в теперешнем состоянии его был виден аристократ, в смысле вошедшего с детства в привычку тщательного и роскошного ухода за своею особой."
35,"Вместо: вспоминал этот запах — в I и II изд. 68 г.: вспоминал, слышав этот запах

Стр. 291, строка 14."
